,station,lat,lon,depth,temperature,salinity,sampler,community,vessel,year,number_of_samples,shanone,number_of_species,total_abundance,total_biomass,com_label,color
0,4993,71.2483333333333,72.865,-20,7.2,0.0468,"ocean-0,1",Marenzelleria wireni,AMK,2007,3,0.7102660346123585,6.0,15009.356827130192,56.596100699999994,1,navy
1,4994,71.7333333333333,72.7883333333333,-16,6.05,0.855,"ocean-0,25",Marenzelleria wireni,AMK,2007,3,0.7394329694971629,5.0,6884.84769345298,22.995770040000004,1,navy
2,4995,72.1666666666667,73.2383333333333,-11,4.35,8.69,"ocean-0,1",Oligochaeta gen.sp.,AMK,2007,3,0.2124089713848949,5.0,13611.217890870801,30.5830275,4,blue
3,4996,72.57,73.8216666666667,-15,2.24,24.443,"ocean-0,1",Portlandia arctica,AMK,2007,3,1.4761864356617362,17.0,1606.5437634615378,25.0197498,7,fuchsia
4,4999,72.9533333333333,73.285,-26,0.09,29.525,"ocean-0,1",Musculus niger – Portlandia arctica,AMK,2007,5,2.6057203083650906,28.0,784.0,49.436,2,green
5,5000,73.7516666666667,72.9433333333333,-27,0.8,32.125,"ocean-0,1",Musculus niger – Portlandia arctica,AMK,2007,5,1.9973860127661416,25.0,1790.0,66.252,2,green
6,5001,74.5833333333333,72.7583333333333,-24,-1.2054,32.7148,"ocean-0,1",Musculus niger – Portlandia arctica,AMK,2007,5,2.8225179366927797,45.0,1652.0,105.42428571428572,2,green
7,5002,75.1683333333333,72.6083333333333,-29,1.15,32.286,"ocean-0,1",Ophelia limacina,AMK,2007,5,2.1672415352999606,28.0,652.0,24.390857142857133,5,purple
8,5003,75.44,72.5316666666667,-55,1.13,32.852,"ocean-0,1",Ophiocten sericeum,AMK,2007,5,2.9151076155411855,55.0,2174.0,49.500857142857136,6,red
9,4954,71.13,66.6166666666667,-16,5.2424,33.4086,"ocean-0,1",Nephtys longosetosa,AMK,2007,5,3.2608639993346413,57.0,1980.0,22.607999999999997,3,cyan
10,4955,71.2,66.15,-24,5.3223,32.9325,"ocean-0,1",Serripes groenlandicus,AMK,2007,5,2.845784639742215,35.0,490.0,12.436,8,royalblue
11,4956,71.25,65.8366666666667,-35,4.2861,33.1593,"ocean-0,1",Astarte borealis,AMK,2007,5,1.6393100980091937,52.0,5366.0,160.03000000000003,0,yellow
12,4957,71.2833333333333,65.6233333333333,-46,1.1112,33.7366,"ocean-0,1",Astarte borealis,AMK,2007,5,2.975802924597448,61.0,3226.0,143.18199999999996,0,yellow
